20p,2,"C1 C2"
100nF,10,"C3 C5 C7 C9 C10 C11 C12 C13 C14 C16"
3.3uF,1,"C4"
10uF,4,"C6 C8 C15 C17"
PMEG3020EH,2,"D1 D2"
LED,2,"D3 D4"
MI0805M221R-10,2,"FB1 FB3"
HZ0805E601R-10,2,"FB2 FB4"
ZX62D-AB-5P8,1,"J1"
LPC-Link,1,"P1"
UART,1,"P2"
JTAG,1,"P3"
Cortex-Debug,1,"P4"
Vout,1,"P5"
330,2,"R10 R11"
1k,1,"R6"
2.2K,1,"R3"
10K,3,"R1 R2 R4"
10k,3,"R7 R8 R9"
12K 1%,1,"R5"
93C46,1,"U1"
FT2232H,1,"U3"
LD1117S33CTR,1,"U4"
PRTR5V0U2X,1,"U2"
12MHz,1,"X1"
